Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Y_lat,X_lon,Georeference
2020,AK,Denali,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,348.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,White,T2,2068,63.67881971,-149.9608012,POINT (-149.9608012 63.67881971)
2020,CA,California,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,230.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,More than one race,T2,6,37.2414,-119.601,POINT (-119.601 37.2414)
2020,CO,Park County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,135.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,White,T2,8093,39.11561621,-105.7086982,POINT (-105.7086982 39.11561621)
2020,FL,Walton County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,126.5,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Asian,T2,12131,30.65596581,-86.15745736,POINT (-86.15745736 30.65596581)
2020,GA,Whitfield County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,155.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Hispanic,T2,13313,34.80385386,-84.96211184,POINT (-84.96211184 34.80385386)
2020,GA,Ware County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Asian,T2,13299,31.05188914,-82.4203935,POINT (-82.4203935 31.05188914)
2020,IA,Ida County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,168.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,19093,42.38768939,-95.52314316,POINT (-95.52314316 42.38768939)
2020,ID,Teton County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,191.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,White,T2,16081,43.75572633,-111.2052979,POINT (-111.2052979 43.75572633)
2020,KS,Sedgwick County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,97.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Asian,T2,20173,37.68032871,-97.45404365,POINT (-97.45404365 37.68032871)
2020,KY,Shelby County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,152.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Hispanic,T2,21211,38.21993221,-85.20375065,POINT (-85.20375065 38.21993221)
2020,LA,Vermilion Parish,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Hispanic,T2,22113,29.85547815,-92.31695038,POINT (-92.31695038 29.85547815)
2020,MD,Charles County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,89.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Asian,T2,24017,38.51611705,-76.99240245,POINT (-76.99240245 38.51611705)
2020,MO,Phelps County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,374.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,White,T2,29161,37.88038417,-91.79678812,POINT (-91.79678812 37.88038417)
2020,MS,Mississippi,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,167.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Asian,T2,28,32.7577,-89.6646,POINT (-89.6646 32.7577)
2020,NV,Nevada,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,281.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,More than one race,T2,32,39.352,-116.65,POINT (-116.65 39.352)
2020,NY,Schenectady County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,190.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Hispanic,T2,36093,42.81616699,-74.06233637,POINT (-74.06233637 42.81616699)
2020,PA,Union County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Asian,T2,42119,40.96465152,-77.06446543,POINT (-77.06446543 40.96465152)
2020,US,United States,Nation,NVSS,Cardiovascular Diseases,Heart Disease Mortality,229.7,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,0,,,
2020,VA,Prince George County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,233.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Hispanic,T2,51149,37.19062995,-77.22534671,POINT (-77.22534671 37.19062995)
2020,VA,Alexandria City,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,199.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Hispanic,T2,51510,38.82020021,-77.08768508,POINT (-77.08768508 38.82020021)
2020,VA,Loudoun County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,89.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,More than one race,T2,51107,39.09109265,-77.63644855,POINT (-77.63644855 39.09109265)
2020,VT,Bennington County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,191.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,50003,43.03338034,-73.09234352,POINT (-73.09234352 43.03338034)
2020,IA,Clarke County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,Black,T2,19039,41.03144446,-93.79051493,POINT (-93.79051493 41.03144446)
2020,AL,Jefferson County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,34.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,More than one race,T2,1073,33.55790924,-86.89670879,POINT (-86.89670879 33.55790924)
2020,FL,Suwannee County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,248.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,12121,30.2003965,-82.98588322,POINT (-82.98588322 30.2003965)
2020,AK,Fairbanks North Star,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,2090,64.80931944,-146.5842931,POINT (-146.5842931 64.80931944)
2020,IA,Humboldt County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,379.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,White,T2,19091,42.78021118,-94.21630777,POINT (-94.21630777 42.78021118)
2020,ID,Custer County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,Hispanic,T2,16037,44.23204473,-114.2749043,POINT (-114.2749043 44.23204473)
2020,ID,Gooding County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Black,T2,16047,42.96182654,-114.8004477,POINT (-114.8004477 42.96182654)
2020,AL,Lauderdale County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,319.8,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,1077,34.90669792,-87.64884345,POINT (-87.64884345 34.90669792)
2020,AK,Kenai Peninsula,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,182.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,2122,60.19326297,-150.2807443,POINT (-150.2807443 60.19326297)
2020,GA,Telfair County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,339.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Black,T2,13271,31.9266004,-82.93790805,POINT (-82.93790805 31.9266004)
2020,ID,Madison County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,520.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,White,T2,16065,43.77934736,-111.6472369,POINT (-111.6472369 43.77934736)
2020,IA,Van Buren County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,19177,40.75225003,-91.95407728,POINT (-91.95407728 40.75225003)
2020,CA,Merced County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,525.7,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,6047,37.18702646,-120.7044101,POINT (-120.7044101 37.18702646)
2020,CA,Santa Clara County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,261.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,6085,37.22731917,-121.6833781,POINT (-121.6833781 37.22731917)
2020,CO,Broomfield County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,138.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,More than one race,T2,8014,39.95155951,-105.060153,POINT (-105.060153 39.95155951)
2020,IA,Iowa,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,190.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Asian,T2,19,42.076,-93.5022,POINT (-93.5022 42.076)
2020,CA,Del Norte County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,Native Hawaiian or Other Pacific Islander,T2,6015,41.74004868,-123.890022,POINT (-123.890022 41.74004868)
2020,IA,Shelby County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,19165,41.68467953,-95.31734349,POINT (-95.31734349 41.68467953)
2020,GA,Columbia County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,190.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Overall,T2,13073,33.54922862,-82.26803171,POINT (-82.26803171 33.54922862)
2020,GA,Grady County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,American Indian or Alaska Native,T2,13131,30.87681982,-84.22831529,POINT (-84.22831529 30.87681982)
2020,GA,Brooks County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,More than one race,T2,13027,30.84144612,-83.57755981,POINT (-83.57755981 30.84144612)
2020,AL,Bullock County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,1011,32.10607183,-85.71598,POINT (-85.71598 32.10607183)
2020,FL,Pinellas County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,354.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Overall,T2,12103,27.93788108,-82.72564761,POINT (-82.72564761 27.93788108)
2020,AR,Union County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,394.0,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Black,T2,5139,33.17402915,-92.58676045,POINT (-92.58676045 33.17402915)
2020,IA,Harrison County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,308.4,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Overall,T2,19085,41.68477197,-95.82033071,POINT (-95.82033071 41.68477197)
2020,FL,Santa Rosa County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,319.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Black,T2,12113,30.73238824,-87.01244177,POINT (-87.01244177 30.73238824)
2020,CA,Lassen County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,266.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,American Indian or Alaska Native,T2,6035,40.66935811,-120.5898736,POINT (-120.5898736 40.66935811)
2020,AL,Winston County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,609.6,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Black,T2,1133,34.1559448,-87.37349988,POINT (-87.37349988 34.1559448)
