YearStart,YearEnd,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Total,Age(years),Education,Sex,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.8,34.8,,,31.3,38.5,1367.0,,,,,"$15,000 - $24,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.8,35.8,,,31.1,40.8,757.0,,,,,"$25,000 - $34,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.3,32.3,,,28.0,36.8,861.0,,,,,"$35,000 - $49,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,34.1,34.1,,,29.7,38.8,785.0,,,,,"$50,000 - $74,999",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.8,28.8,,,25.4,32.5,1125.0,,,,,"$75,000 or greater",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,16.3,16.3,,,12.6,20.9,356.0,,18 - 24,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),18 - 24,AGEYR,AGEYR1824
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.8,27.8,,,14.4,46.9,58.0,,,,,,Non-Hispanic 2 or more races,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic 2 or more races,RACE,RACE2PLUS
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.2,35.2,,,30.7,40.0,598.0,,25 - 34,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),25 - 34,AGEYR,AGEYR2534
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,35.5,35.5,,,31.6,39.6,865.0,,35 - 44,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),35 - 44,AGEYR,AGEYR3544
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.0,38.0,,,34.5,41.5,1288.0,,45 - 54,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),45 - 54,AGEYR,AGEYR4554
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,36.4,36.4,,,33.4,39.5,1676.0,,55 - 64,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.1,27.1,,,24.9,29.3,2521.0,,65 or older,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Age (years),65 or older,AGEYR,AGEYR65PLUS
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.9,32.9,,,18.4,51.7,61.0,,,,,,NH American Indian/Alaska Native,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,NH American Indian/Alaska Native,RACE,RACENAA
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Non-Hispanic Asian,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Asian,RACE,RACEASN
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.4,26.4,,,23.7,29.3,1812.0,,,College graduate,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,College graduate,EDU,EDUCOGRAD
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.8,23.8,,,20.7,27.3,1297.0,,,,,Data not reported,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,Data not reported,INC,INCNR
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.8,31.8,,,30.0,33.6,4723.0,,,,Female,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Sex,Female,SEX,FEMALE
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,NH Hawaiian/Pacific Islander,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,NH Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.8,32.8,,,30.2,35.6,2402.0,,,High school graduate,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,28.6,28.6,,,17.5,43.1,115.0,,,,,,Hispanic,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,38.5,38.5,,,34.4,42.8,1112.0,,,,,"Less than $15,000",,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Income,"Less than $15,000",INC,INCLESS15
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.6,33.6,,,29.9,37.6,1153.0,,,Less than high school,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,Less than high school,EDU,EDUHS
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.3,32.3,,,29.9,34.7,2581.0,,,,Male,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Sex,Male,SEX,MALE
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,40.1,40.1,,,36.9,43.3,1878.0,,,,,,Non-Hispanic Black,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.8,29.8,,,28.0,31.6,5042.0,,,,,,Non-Hispanic White,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Non-Hispanic Other,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Race/Ethnicity,Non-Hispanic Other,RACE,RACEOTH
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.8,33.8,,,31.0,36.8,1925.0,,,Some college or technical sch,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Education,Some college or technical school,EDU,EDUCOTEC
2011,2011,AL,Alabama,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.0,32.0,,,30.5,33.5,7304.0,Total,,,,,,"(32.840571122, -86.631860762)",OWS,OWS1,Q036,VALUE,1,Total,Total,OVR,OVERALL
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.2,30.2,,,24.1,37.2,377.0,,,,,"$15,000 - $24,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$15,000 - $24,999",INC,INC1525
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,32.2,32.2,,,23.1,42.9,224.0,,,,,"$25,000 - $34,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$25,000 - $34,999",INC,INC2535
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,24.5,24.5,,,18.3,32.0,397.0,,,,,"$35,000 - $49,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$35,000 - $49,999",INC,INC3550
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,27.8,27.8,,,23.3,32.9,524.0,,,,,"$50,000 - $74,999",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$50,000 - $74,999",INC,INC5075
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.9,26.9,,,23.5,30.7,1109.0,,,,,"$75,000 or greater",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"$75,000 or greater",INC,INC75PLUS
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,19.8,19.8,,,13.4,28.4,212.0,,18 - 24,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),18 - 24,AGEYR,AGEYR1824
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.3,23.3,,,16.1,32.4,128.0,,,,,,Non-Hispanic 2 or more races,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic 2 or more races,RACE,RACE2PLUS
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,23.5,23.5,,,18.6,29.2,451.0,,25 - 34,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),25 - 34,AGEYR,AGEYR2534
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.5,29.5,,,24.5,35.0,562.0,,35 - 44,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),35 - 44,AGEYR,AGEYR3544
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.2,29.2,,,25.2,33.5,735.0,,45 - 54,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),45 - 54,AGEYR,AGEYR4554
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.4,33.4,,,29.1,38.0,776.0,,55 - 64,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),55 - 64,AGEYR,AGEYR5564
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,29.3,29.3,,,24.1,35.0,600.0,,65 or older,,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Age (years),65 or older,AGEYR,AGEYR65PLUS
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,30.9,30.9,,,25.7,36.6,477.0,,,,,,NH American Indian/Alaska Native,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,NH American Indian/Alaska Native,RACE,RACENAA
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,Non-Hispanic Asian,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Non-Hispanic Asian,RACE,RACEASN
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,22.1,22.1,,,19.1,25.5,1150.0,,,College graduate,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Education,College graduate,EDU,EDUCOGRAD
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,22.7,22.7,,,17.5,28.8,434.0,,,,,Data not reported,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,Data not reported,INC,INCNR
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,26.7,26.7,,,23.9,29.7,1716.0,,,,Female,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Sex,Female,SEX,FEMALE
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,,,-,Data not available because sample size is insufficient or data not reported.,,,,,,,,,NH Hawaiian/Pacific Islander,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,NH Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.1,33.1,,,28.8,37.7,981.0,,,High school graduate,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Education,High school graduate,EDU,EDUHSGRAD
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,31.5,31.5,,,20.4,45.1,84.0,,,,,,Hispanic,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Race/Ethnicity,Hispanic,RACE,RACEHIS
2011,2011,AK,Alaska,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity,,Value,33.6,33.6,,,25.4,42.9,271.0,,,,,"Less than $15,000",,"(64.845079957001, -147.722059036)",OWS,OWS1,Q036,VALUE,2,Income,"Less than $15,000",INC,INCLESS15
